service_id,date,exception_type
1,20250610,1
1,20250617,2
1,20250624,2
1,20250701,2
1,20250708,2
1,20250715,2
2,20250606,2
2,20250609,2
2,20250610,2
2,20250611,2
2,20250612,2
2,20250619,2
4,20250609,1
4,20250611,1
4,20250612,1
4,20250616,2
4,20250618,2
4,20250619,2
4,20250623,2
4,20250625,2
4,20250626,2
4,20250630,2
4,20250702,2
4,20250703,2
4,20250707,2
4,20250709,2
4,20250710,2
4,20250714,2
4,20250716,2
4,20250717,2
5,20250606,1
5,20250613,2
5,20250620,2
5,20250627,2
5,20250704,2
5,20250711,2
5,20250718,2
6,20250619,1
